Sun May 24 21:38:08 2020: Shinsei had Stat Check happen; Action by Shinsei; Reason: None
Sun May 24 21:38:08 2020: Shinsei had Stat Check happen; Action by Shinsei; Reason: None
Sun May 24 21:39:50 2020: Shinsei had Stat Check happen; Action by Shinsei; Reason: None
Tue May 26 17:34:56 2020: Shinsei had Police Teleport happen; Action by Sefegsrgb; Reason: none
Tue May 26 17:34:56 2020: Shinsei had Restored happen; Action by Shinsei; Reason: None
Tue May 26 18:45:20 2020: Shinsei had Police Teleport happen; Action by Fry; Reason: none
Tue May 26 18:46:24 2020: Shinsei had Teleported happen; Action by Sefegsrgb; Reason: None
Sun May 31 13:26:24 2020: Shinsei had Police Teleport happen; Action by Fry; Reason: none
Sun May 31 13:29:36 2020: Shinsei had Restored happen; Action by Shinsei; Reason: None
Sat Jun 06 13:40:16 2020: Shinsei had Restored happen; Action by Shinsei; Reason: None
Sat Jun 06 13:40:16 2020: Shinsei had Restored happen; Action by Shinsei; Reason: None
Sat Jun 06 13:40:16 2020: Shinsei had Police Teleport happen; Action by Fry; Reason: none
Sat Jun 06 13:44:32 2020: Shinsei had Restored happen; Action by Shinsei; Reason: None
